SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,SalesAmount,TaxAmt,Freight,DiscountAmount,FirstName,LastName,BirthDate,Gender,MaritalStatus,YearlyIncome,TotalChildren,DateFirstPurchase,EnglishProductName,Color,Class,ProductLine,OrderDate,CalendarYear,EnglishMonthName,City,EnglishCountryRegionName,englishPromotionName,DiscountPct,SalesTerritoryGroup
SO43697,1,1,3578.27,286.2616,89.4568,0.0,Cole,Watson,1952-02-19,M,S,70000.0,5,2010-12-29,"Road-150 Red, 62",Red,H ,R ,2010-12-29,2010,December,Metchosin,Canada,No Discount,0.0,North America
SO43698,1,1,3399.99,271.9992,84.9998,0.0,Rachael,Martinez,1970-06-17,F,S,20000.0,3,2010-12-29,"Mountain-100 Silver, 44",Silver,H ,M ,2010-12-29,2010,December,Pantin,France,No Discount,0.0,Europe
SO43699,1,1,3399.99,271.9992,84.9998,0.0,Sydney,Wright,1952-06-01,F,S,40000.0,5,2010-12-29,"Mountain-100 Silver, 44",Silver,H ,M ,2010-12-29,2010,December,Lebanon,United States,No Discount,0.0,North America
SO43700,1,1,699.0982,55.9279,17.4775,0.0,Ruben,Prasad,1943-11-10,M,M,80000.0,4,2010-12-29,"Road-650 Black, 62",Black,L ,R ,2010-12-29,2010,December,Beverly Hills,United States,No Discount,0.0,North America
SO43701,1,1,3399.99,271.9992,84.9998,0.0,Christy,Zhu,1973-08-14,F,S,70000.0,0,2010-12-29,"Mountain-100 Silver, 44",Silver,H ,M ,2010-12-29,2010,December,North Ryde,Australia,No Discount,0.0,Pacific
SO43702,1,1,3578.27,286.2616,89.4568,0.0,Colin,Anand,1972-08-14,M,M,120000.0,1,2010-12-30,"Road-150 Red, 44",Red,H ,R ,2010-12-30,2010,December,Coronado,United States,No Discount,0.0,North America
SO43703,1,1,3578.27,286.2616,89.4568,0.0,Albert,Alvarez,1983-07-24,M,S,90000.0,0,2010-12-30,"Road-150 Red, 62",Red,H ,R ,2010-12-30,2010,December,Perth,Australia,No Discount,0.0,Pacific
SO43704,1,1,3374.99,269.9992,84.3748,0.0,Julio,Ruiz,1976-08-01,M,S,70000.0,0,2010-12-30,"Mountain-100 Black, 48",Black,H ,M ,2010-12-30,2010,December,East Brisbane,Australia,No Discount,0.0,Pacific
SO43705,1,1,3399.99,271.9992,84.9998,0.0,Curtis,Lu,1969-05-03,M,M,60000.0,4,2010-12-30,"Mountain-100 Silver, 38",Silver,H ,M ,2010-12-30,2010,December,East Brisbane,Australia,No Discount,0.0,Pacific
SO43706,1,1,3578.27,286.2616,89.4568,0.0,Edward,Brown,1975-01-23,M,S,160000.0,0,2010-12-31,"Road-150 Red, 48",Red,H ,R ,2010-12-31,2010,December,Santa Monica,United States,No Discount,0.0,North America
SO43707,1,1,3578.27,286.2616,89.4568,0.0,Emma,Brown,1971-06-10,F,S,120000.0,3,2010-12-31,"Road-150 Red, 48",Red,H ,R ,2010-12-31,2010,December,Lemon Grove,United States,No Discount,0.0,North America
SO43708,1,1,699.0982,55.9279,17.4775,0.0,Brad,Deng,1979-11-01,M,M,40000.0,1,2010-12-31,"Road-650 Red, 52",Red,L ,R ,2010-12-31,2010,December,Liverpool,United Kingdom,No Discount,0.0,Europe
SO43709,1,1,3578.27,286.2616,89.4568,0.0,Martha,Xu,1960-01-04,F,S,80000.0,2,2010-12-31,"Road-150 Red, 52",Red,H ,R ,2010-12-31,2010,December,Rockhampton,Australia,No Discount,0.0,Pacific
SO43710,1,1,3578.27,286.2616,89.4568,0.0,Katrina,Raji,1981-09-16,F,M,10000.0,1,2010-12-31,"Road-150 Red, 56",Red,H ,R ,2010-12-31,2010,December,Wollongong,Australia,No Discount,0.0,Pacific
SO43711,1,1,3578.27,286.2616,89.4568,0.0,Courtney,Edwards,1962-11-24,F,S,70000.0,2,2011-01-01,"Road-150 Red, 56",Red,H ,R ,2011-01-01,2011,January,Milwaukie,United States,No Discount,0.0,North America
SO43712,1,1,3578.27,286.2616,89.4568,0.0,Abigail,Henderson,1947-03-08,F,M,30000.0,1,2011-01-01,"Road-150 Red, 44",Red,H ,R ,2011-01-01,2011,January,Werne,Germany,No Discount,0.0,Europe
