SalesOrderNumber,SalesOrderLineNumber,OrderDate,CalendarYear,CalendarMonth,CalendarDay,EnglishMonthName,FullName,Gender,MaritalStatus,BirthDate,Age,YearlyIncome,TotalChildren,DateFirstPurchase,TenureDays,City,EnglishCountryRegionName,SalesTerritoryGroup,EnglishProductName,Color,Class,ProductLine,OrderQuantity,SalesAmount,TaxAmt,Freight,TotalPaid,AgeGroup,TaxRate%
SO43697,1,2010-12-29,2010,12,29,December,Cole Watson,M,S,1952-02-19,73,70000.0,5,2010-12-29,0,Metchosin,Canada,North America,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(72.0, 109.0]",7.23981891297405
SO43698,1,2010-12-29,2010,12,29,December,Rachael Martinez,F,S,1970-06-17,55,20000.0,3,2010-12-29,0,Pantin,France,Europe,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43699,1,2010-12-29,2010,12,29,December,Sydney Wright,F,S,1952-06-01,73,40000.0,5,2010-12-29,0,Lebanon,United States,North America,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(72.0, 109.0]",7.23981890817354
SO43700,1,2010-12-29,2010,12,29,December,Ruben Prasad,M,M,1943-11-10,81,80000.0,4,2010-12-29,0,Beverly Hills,United States,North America,"Road-650 Black, 62",Black,L ,R ,1,699.0982,55.9279,17.4775,772.5036,"(72.0, 109.0]",7.239823866192986
SO43701,1,2010-12-29,2010,12,29,December,Christy Zhu,F,S,1973-08-14,51,70000.0,0,2010-12-29,0,North Ryde,Australia,Pacific,"Mountain-100 Silver, 44",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(48.0, 51.0]",7.23981890817354
SO43702,1,2010-12-30,2010,12,30,December,Colin Anand,M,M,1972-08-14,52,120000.0,1,2010-12-30,0,Coronado,United States,North America,"Road-150 Red, 44",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(51.0, 53.0]",7.23981891297405
SO43703,1,2010-12-30,2010,12,30,December,Albert Alvarez,M,S,1983-07-24,42,90000.0,0,2010-12-30,0,Perth,Australia,Pacific,"Road-150 Red, 62",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(38.999, 42.0]",7.23981891297405
SO43704,1,2010-12-30,2010,12,30,December,Julio Ruiz,M,S,1976-08-01,49,70000.0,0,2010-12-30,0,East Brisbane,Australia,Pacific,"Mountain-100 Black, 48",Black,H ,M ,1,3374.99,269.9992,84.3748,3729.364,"(48.0, 51.0]",7.239818907459823
SO43705,1,2010-12-30,2010,12,30,December,Curtis Lu,M,M,1969-05-03,56,60000.0,4,2010-12-30,0,East Brisbane,Australia,Pacific,"Mountain-100 Silver, 38",Silver,H ,M ,1,3399.99,271.9992,84.9998,3756.989,"(53.0, 57.0]",7.23981890817354
SO43706,1,2010-12-31,2010,12,31,December,Edward Brown,M,S,1975-01-23,50,160000.0,0,2010-12-31,0,Santa Monica,United States,North America,"Road-150 Red, 48",Red,H ,R ,1,3578.27,286.2616,89.4568,3953.9883999999997,"(48.0, 51.0]",7.23981891297405
